HTR: NOTI01181/NOTI01181000019.xml#r3l2         | buker
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l9   | de Hr: Insinuant doed U Hr. Geinsinueerden door my

HTR: NOTI01181/NOTI01181000097.xml#r3l10        | Notaris in praesentie van de naagemelde getuijgen
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l10  | Notaris in prasentie van de naagemelde getuijgen

HTR: NOTI01181/NOTI01181000097.xml#r3l12        | Seeventien hondert een & veertig hebbende aangenomen
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l12  | seeventien hondert een & veertig hebbende aangenomen

HTR: NOTI01181/NOTI01181000097.xml#r3l13        | en beloovt gehadt des Hr: Insinuant voornoemde Compag,
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l13  | en beloovt gehadt des Hr: Insinuant voornoemde Compag

HTR: NOTI01181/NOTI01181000097.xml#r3l16        | des Hr: Insinuants gemelde Compagnie zoude moogen
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l16  | des  Hr: Insinuants gemelde Compagnie zoude moogen

HTR: NOTI01181/NOTI01181000097.xml#r3l18        | Wisselbriev van vier hondert en twintig Rijxaalders
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l18  | Wisselbriev van vier hondert en twintig Rijxdaalders

HTR: NOTI01181/NOTI01181000097.xml#r3l19        | door Gerard van Dolre woonende te Rega op den 9e. van
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l19  | door Gerard van Dolre woonende te Riga op den 9e: van

HTR: NOTI01181/NOTI01181000097.xml#r3l23        | Wisselbriev vervolgens ook door des insinuants Compagnie
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l23  | wisselbriev vervolgens ook door des insinuants Compagnie

HTR: NOTI01181/NOTI01181000097.xml#r3l26        | om uwe voorgemelde aanneeming en belofte te præstee¬
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l26  | om uwe voorgemelde aanneeming en belofte te prostee

HTR: NOTI01181/NOTI01181000097.xml#r3l27        | ren en te volbrengen, vermits de voornoemde Hendrik
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l27  | „ren en te volbrengen, vermits de voornoemde Hendrik

HTR: NOTI01181/NOTI01181000097.xml#r3l28        | van Dolre was geraakt suiten staat om sijne Crediteu
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l28  | van Dolre was geraakt buiten staat om sijne Crediteu

HTR: NOTI01181/NOTI01181000097.xml#r3l29        | ren te kunnen voldoen, gelijk U Hr. Geinsinueerden
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l29  | „ren te kunnen voldoen, gelijk U Hr: Geinsinueerden

HTR: NOTI01181/NOTI01181000097.xml#r3l31        | e schaade aan des insinuants voornoemde
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l31  | de schaade aan des insinuants voornoemde

HTR: NOTI01181/NOTI01181000097.xml#r3l33        | ergekoomen
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l32  | betaalen overgekoomen

HTR: NOTI01181/NOTI01181000097.xml#r3l38        | Dat gy Hr. geinsi¬
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l37  | Dat gy Hr. geinsi

HTR: NOTI01181/NOTI01181000097.xml#r3l39        | nueerden ook welstelkens, wanneer gij desweegens door
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l38  | nueerden ook wel telkens, wanneer gij desweegens door

HTR: NOTI01181/NOTI01181000097.xml#r3l52        | Hr: des nietteegenstaande heeft moeten ondervinden
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l51  | Hr: des niettegenstaande heeft moeten ondervinden

HTR: NOTI01181/NOTI01181000097.xml#r3l55        | nis te voldoen, soo vind hij Insinuant zig genoodsaakt
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l54  | nis te voldoen, soo vind hij Insinuant Zig genoodsaakt

HTR: NOTI01181/NOTI01181000097.xml#r3l57        | nog dood U geinsinueerden mogt werden afgedaan,
GT : 12788_NOTI01181/NOTI01181000097.xml#r3l57  | nog door U geinsinueerden mogt werden afgedaan

HTR: NOTI01181/NOTI01181000098.xml#r1l1         | en hem insinuant Voldoening gegeeven, zig selven
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l1   | en hem insinuant Voldoening gegeeven Zig selven

HTR: NOTI01181/NOTI01181000098.xml#r1l2         | satisfactie van Ue geinsinueerden te besorgen. Doende
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l2   | satisfactie van de geinsinueerden te besorgen. Doende

HTR: NOTI01181/NOTI01181000098.xml#r1l4         | U geinsinueerden in het Vriendelijk door mij Notaris
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l4   | U geinsinueerden in het Vriendelijke door mij Notaris

HTR: NOTI01181/NOTI01181000098.xml#r1l5         | in prasentie van de naagemelde getuijgen afvraagen
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l5   | in præsentie van de naagemelde getuijgen afvraagen

HTR: NOTI01181/NOTI01181000098.xml#r1l8         | suuren aan hem Insinuant gelievt te voldoen en
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l8   | uuren aan hem Insinuant gelievt te voldoen en

HTR: NOTI01181/NOTI01181000098.xml#r1l10        | Rijxdaalders: begreepen in de boovengemelde
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l10  | Rijxdaalders begreepen in de boovengemelde

HTR: NOTI01181/NOTI01181000098.xml#r1l12        | die summa door de Hr: Insinuants meergemelde
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l12  | die summa door de Hr. Insinuants meergemelde

HTR: NOTI01181/NOTI01181000098.xml#r1l14        | en belofte van U Hr: Geinsinueerden betaalt is tot
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l14  | en belofte van U Hr. Geinsinueerden betaalt is tot

HTR: NOTI01181/NOTI01181000098.xml#r1l15        | de daadelijke voldoening toe, en om alsoo des Insi¬
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l15  | de daadelijke voldoening toe, en om alsoo des Insi

HTR: NOTI01181/NOTI01181000098.xml#r1l16        | nuants voornoemde geweesene Compagnie schaadeloe
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l16  | nuants voornoemde, geweesene Compagnie Schaadeloos

HTR: NOTI01181/NOTI01181000098.xml#r1l17        | te stellen of af te houden & te bevrijden van die schaad
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l17  | te stellen of af te houden & te bevrijden van die Schaad

HTR: NOTI01181/NOTI01181000098.xml#r1l19        | noemde Wisselbriev is overgekoomen, Waar op uit
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l19  | noemde Wisselbriev is overgekoomen. Waar op uit

HTR: NOTI01181/NOTI01181000098.xml#r1l20        | naam van den Hr: Insinuant de geinsinueerdens
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l20  | naam van den Hr. Insinuant de geinsinueerdens

HTR: NOTI01181/NOTI01181000098.xml#r1l22        | Protesteerende de Insinuant ingevalle van
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l22  | Protesteerende de Insinuant, ingevalle van

HTR: NOTI01181/NOTI01181000098.xml#r1l24        | & interessen, die (baiten en behalven de Reets
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l24  | en interessen, die (buiten en behalven de reets

HTR: NOTI01181/NOTI01181000098.xml#r1l26        | nog zouden moogen werden veroorsaakt, zij
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l26  | nog zouden moogen werden veroorsaakt, en

HTR: NOTI01181/NOTI01181000098.xml#r1l27        | waarvan kendeesen eenigsints kan werden geprotes
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l27  | waarvan tendeesen eenigsints kan werden geprotes

HTR: NOTI01181/NOTI01181000098.xml#r1l28        | steert
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l28  | teert

HTR: NOTI01181/NOTI01181000098.xml#r1l31        | ten deele aan den geins. hadde voorlee¬
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l31  | ten deele aan de geins. hadde voorlee

HTR: NOTI01181/NOTI01181000098.xml#r1l35        | besorg mij maar Copie
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l34  | besorg mij maar Copie.

HTR: NOTI01181/NOTI01181000098.xml#r1l38        | in præsentie van Abraham Bracteariu
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l37  | in præsentie van Abraham Bracteari

HTR: NOTI01181/NOTI01181000098.xml#r1l43        | Notaris
GT : 12788_NOTI01181/NOTI01181000098.xml#r1l42  | Notaris.

HTR: NOTI01181/NOTI01181000099.xml#r1l3         | den Hr Seger van Son
GT : 12788_NOTI01181/NOTI01181000099.xml#r1l3   | den Hr: Seger van Son

HTR: NOTI01181/NOTI01181000099.xml#r1l5         | den Hr: Jan Grasper
GT : 12788_NOTI01181/NOTI01181000099.xml#r1l5   | den Hr:  Jan Grasper

HTR: NOTI01181/NOTI01181000099.xml#r1l6         | OB diende wel aan
GT : 12788_NOTI01181/NOTI01181000099.xml#r1l6   | NB diende wel aan

HTR: NOTI01181/NOTI01181000100.xml#r1l2         | de Huijbert
GT : 12788_NOTI01181/NOTI01181000100.xml#r1l2   | de Huijbert,

HTR: NOTI01181/NOTI01181000100.xml#r1l7         | den gegoed te zijn, n
GT : 12788_NOTI01181/NOTI01181000100.xml#r1l6   | den gegoed te Zijn, en is

HTR: NOTI01181/NOTI01181000100.xml#r1l11        | vervat
GT : 12788_NOTI01181/NOTI01181000100.xml#r1l10  | vervat.

HTR: NOTI01181/NOTI01181000100.xml#r1l14        | Claas van Riesen Mr. Koekebae¬
GT : 12788_NOTI01181/NOTI01181000100.xml#r1l13  | Claas van Riesen Mr. Koekebac¬

HTR: NOTI01181/NOTI01181000100.xml#r1l15        | ker¬
GT : 12788_NOTI01181/NOTI01181000100.xml#r1l14  | ker

HTR: NOTI01181/NOTI01181000100.xml#r1l17        | Theodora van Lommetsm
GT : 12788_NOTI01181/NOTI01181000100.xml#r1l16  | Theodora van Lommetsum

HTR: NOTI01181/NOTI01181000101.xml#r2l1         | Claas van Riesen, Mr. Koekebakker, En
GT : 12788_NOTI01181/NOTI01181000101.xml#r2l1   | Claas van Riesen, Mr. Koekebakker, en

HTR: NOTI01181/NOTI01181000101.xml#r2l3         | wonagtig binnen deze stad op de hoek van
GT : 12788_NOTI01181/NOTI01181000101.xml#r2l3   | wonagtig binnen deze Stad op de hoek van

HTR: NOTI01181/NOTI01181000101.xml#r2l4         | da sij uijden meer
GT : 12788_NOTI01181/NOTI01181000101.xml#r2l4   | ^ dat sij luijden zonder

HTR: NOTI01181/NOTI01181000101.xml#r2l5         | de haarlemerdijk en Korte Trinsegraft, zynde
GT : 12788_NOTI01181/NOTI01181000101.xml#r2l5   | de haarlemerdijk en Korte Prinsegraft, Zijnde

HTR: NOTI01181/NOTI01181000101.xml#r2l8         | beide gezond en om te Testeeren volkomen in
GT : 12788_NOTI01181/NOTI01181000101.xml#r2l8   | beide gezond en om te testeeren volkomen in

HTR: NOTI01181/NOTI01181000101.xml#r2l12        | goederen met zyn
GT : 12788_NOTI01181/NOTI01181000101.xml#r2l11  | goederen met Zijn

HTR: NOTI01181/NOTI01181000101.xml#r2l11        | Dewelke verklaarden alvorens
GT : 12788_NOTI01181/NOTI01181000101.xml#r2l12  | Dewelke verklaarden ^ alvorens

HTR: NOTI01181/NOTI01181000101.xml#r2l15        | allen Testamenten, codicillen en anderen
GT : 12788_NOTI01181/NOTI01181000101.xml#r2l15  | allen Testamenten, Codicillen en anderen

HTR: NOTI01181/NOTI01181000101.xml#r2l16        | dispositien van uiterste Wil, te Zamen, alleen,
GT : 12788_NOTI01181/NOTI01181000101.xml#r2l16  | dispositien van uiterste Wil, te Zamen, alleen

HTR: NOTI01181/NOTI01181000101.xml#r2l18        | gemaakt ofte gepasseert
GT : 12788_NOTI01181/NOTI01181000101.xml#r2l18  | gemaakt ofte gepasseert.

HTR: NOTI01181/NOTI01181000101.xml#r2l20        | zo verklaarden zy Teftateuren, Eerst in gevallen
GT : 12788_NOTI01181/NOTI01181000101.xml#r2l20  | Zo verklaarden Zij Testateuren, Eerst in gevalle

HTR: NOTI01181/NOTI01181000101.xml#r2l21        | kind of kinderen uijt dit huwelijk na blijven,
GT : 12788_NOTI01181/NOTI01181000101.xml#r2l21  | Kind of Kinderen uijt dit huwelijk na bijven,

HTR: NOTI01181/NOTI01181000101.xml#r2l23        | stervende de Langstlevende van hen beide
GT : 12788_NOTI01181/NOTI01181000101.xml#r2l23  | Stervende de Langstlevende van hen beide

HTR: NOTI01181/NOTI01181000101.xml#r2l24        | by desen te stellen en Institueeren tot hun wederzijds
GT : 12788_NOTI01181/NOTI01181000101.xml#r2l24  | bij desen te Stellen en Institueeren tot hun wederzijds

HTR: NOTI01181/NOTI01181000101.xml#r2l26        | boedel houdster ten zulken Effecti dat de Langst
GT : 12788_NOTI01181/NOTI01181000101.xml#r2l26  | boedelhoudster ten Zulken Effecte dat de Langst¬

HTR: NOTI01181/NOTI01181000101.xml#r2l27        | levende zal blijven sitten in den gemeenen en
GT : 12788_NOTI01181/NOTI01181000101.xml#r2l27  | levende Zal blijven Sitten in de gemeenen en

HTR: NOTI01181/NOTI01181000101.xml#r2l28        | ongescheijden boedel met magt om den zelven
GT : 12788_NOTI01181/NOTI01181000101.xml#r2l28  | ongescheijde boedel met magt om den Zelven

HTR: NOTI01181/NOTI01181000101.xml#r1l2         | April des Jaars seventien
GT : 12788_NOTI01181/NOTI01181000101.xml#r1l2   | April des Jaars Seventien

HTR: NOTI01181/NOTI01181000101.xml#r1l3         | hondert vijf & veertig des nade¬
GT : 12788_NOTI01181/NOTI01181000101.xml#r1l3   | hondert vijf & veertig des naden¬

HTR: NOTI01181/NOTI01181000101.xml#r1l5         | vier uuren
GT : 12788_NOTI01181/NOTI01181000101.xml#r1l5   | vier uuren.

HTR: NOTI01181/NOTI01181000101.xml#r1l7         | manus van Heel Notar¬
GT : 12788_NOTI01181/NOTI01181000101.xml#r1l7   | manus van Heel Nota¬

HTR: NOTI01181/NOTI01181000102.xml#r2l3         | levende van hun beiden met eerbiedige uitsluiting
GT : 12788_NOTI01181/NOTI01181000102.xml#r2l3   | levende van hun beide, met eerbiedige uitsluiting

HTR: NOTI01181/NOTI01181000102.xml#r2l4         | van d' Ed. Agtb: Heeren Weesmeesteren zo van deze als
GT : 12788_NOTI01181/NOTI01181000102.xml#r2l4   | van d' Ed. Agtb. Heeren Weesmeesteren zo van deze als

HTR: NOTI01181/NOTI01181000102.xml#r2l6         | sterfhuis van d' eerst overlydende mogt komen te
GT : 12788_NOTI01181/NOTI01181000102.xml#r2l6   | sterfhuis van d' eerstoverlydende mogt komen te

HTR: NOTI01181/NOTI01181000102.xml#r2l7         | vallen
GT : 12788_NOTI01181/NOTI01181000102.xml#r2l7   | vallen.

HTR: NOTI01181/NOTI01181000102.xml#r2l8         | Maar zo wanneer geen kind of kinderen uijt dis
GT : 12788_NOTI01181/NOTI01181000102.xml#r2l8   | Maar zo wanneer geen kind of kinderen uyt dit

HTR: NOTI01181/NOTI01181000102.xml#r2l9         | als de
GT : 12788_NOTI01181/NOTI01181000102.xml#r2l9   | als dan

HTR: NOTI01181/NOTI01181000102.xml#r2l10        | huwelyk nablyven, verklaren zij Testateuren malkandert
GT : 12788_NOTI01181/NOTI01181000102.xml#r2l10  | huwelyk nablyven verklaren zij Testateuren malkander

HTR: NOTI01181/NOTI01181000102.xml#r2l13        | te weten d'eerststervende, den Cangstlevende, by desen
GT : 12788_NOTI01181/NOTI01181000102.xml#r2l12  | te weten d' eerststervende, den Langstlevende by desen

HTR: NOTI01181/NOTI01181000102.xml#r2l18        | Lommetsum uyt te keeren desselfs Legitme
GT : 12788_NOTI01181/NOTI01181000102.xml#r2l17  | Lommetsum uyt te keeren desselfs Legitime

HTR: NOTI01181/NOTI01181000102.xml#r2l19        | Cortie, zonder meer, Waar inde Testatrice by
GT : 12788_NOTI01181/NOTI01181000102.xml#r2l18  | Portie, zonder meer, Waar inde Testatrice by

HTR: NOTI01181/NOTI01181000102.xml#r2l20        | desen verklaait de gem. haare vader tot haar
GT : 12788_NOTI01181/NOTI01181000102.xml#r2l19  | desen verklaart de gem. haere vader tot haar

HTR: NOTI01181/NOTI01181000102.xml#r2l23        | gewilt en by dezen geordonneert, Ingevalle
GT : 12788_NOTI01181/NOTI01181000102.xml#r2l22  | gewilt en by dezen geordonneert, Jngevalle

HTR: NOTI01181/NOTI01181000102.xml#r2l25        | de Langstlevende van hen zonder agter lating
GT : 12788_NOTI01181/NOTI01181000102.xml#r2l24  | de Langstlevende van hen zonder agterlating

HTR: NOTI01181/NOTI01181000102.xml#r2l26        | van Kind kinderen of verdere Descendenten, en
GT : 12788_NOTI01181/NOTI01181000102.xml#r2l25  | van kind kinderen of verdere Descendenten, en

HTR: NOTI01181/NOTI01181000102.xml#r2l30        | dan alle de goederen van den gemeenen boedelwel
GT : 12788_NOTI01181/NOTI01181000102.xml#r2l29  | dan alle de goederen van den gemeenen boedel wel

HTR: NOTI01181/NOTI01181000102.xml#r2l32        | alieneeren, maar dat egter al het geene door
GT : 12788_NOTI01181/NOTI01181000102.xml#r2l31  | alieneeren Maar dat egter al het geene door

HTR: NOTI01181/NOTI01181000102.xml#r1l3         | goederen te mogen verkopen of belasten, zo als
GT : 12788_NOTI01181/NOTI01181000102.xml#r1l3   | goederen te mogen verkopen of belasten; zo als

HTR: NOTI01181/NOTI01181000102.xml#r1l4         | sy Testateuren beide in leven zynde, zouden komn#
GT : 12788_NOTI01181/NOTI01181000102.xml#r1l4   | sy Testateuren beide in leven zynde, zouden konn

HTR: NOTI01181/NOTI01181000102.xml#r1l7         | gehouden zal zyn hunnen kind of kinderen behooe
GT : 12788_NOTI01181/NOTI01181000102.xml#r1l7   | gehouden zal zyn hunne kind of kinderen behore

HTR: NOTI01181/NOTI01181000102.xml#r1l8         | en na staats gelegentheyd, verder op te voeden
GT : 12788_NOTI01181/NOTI01181000102.xml#r1l8   | en na staats gelegentheyd verder op te voeden

HTR: NOTI01181/NOTI01181000102.xml#r1l10        | of voor het aangaan van een ander huwelyk aand
GT : 12788_NOTI01181/NOTI01181000102.xml#r1l10  | of voor het aangaan van een ander huwelyk aan

HTR: NOTI01181/NOTI01181000102.xml#r1l12        | voors: gevallen met meerder, ofte minder als
GT : 12788_NOTI01181/NOTI01181000102.xml#r1l12  | voors: gevallen niet meerder, ofte minder als

HTR: NOTI01181/NOTI01181000102.xml#r1l14        | stand des boedels zal gelegen zyn en goedvind
GT : 12788_NOTI01181/NOTI01181000102.xml#r1l14  | stand des boedels, zal gelegen zyn en goedvind

HTR: NOTI01181/NOTI01181000102.xml#r1l15        | te behooren, en welk bewys tot der Kinderen meerde
GT : 12788_NOTI01181/NOTI01181000102.xml#r1l15  | te behooren, en welk bewys tot den kinderen meerd

HTR: NOTI01181/NOTI01181000102.xml#r1l17        | mogen verblyven, en alleen gedaan worden al
GT : 12788_NOTI01181/NOTI01181000102.xml#r1l17  | mogen verblyven, en alleen gedaan worden aa

HTR: NOTI01181/NOTI01181000102.xml#r1l19        | Manspersoonen door de Langstlevende het sy in
GT : 12788_NOTI01181/NOTI01181000102.xml#r1l19  | Manspersoonen door de Langstlevende, het sy in

HTR: NOTI01181/NOTI01181000102.xml#r1l20        | of buiten den bloede daartoe te verkiesen, zonder
GT : 12788_NOTI01181/NOTI01181000102.xml#r1l20  | of buiten de bloede daartoe te verkiesen, zonder

HTR: NOTI01181/NOTI01181000102.xml#r1l21        | gehouden te zyn daar voor eenige bysonderen
GT : 12788_NOTI01181/NOTI01181000102.xml#r1l21  | gehouden te zyn daar voor eenige bysondere

HTR: NOTI01181/NOTI01181000102.xml#r1l22        | borgen te stellen, zullende voorts de voor opvoeden
GT : 12788_NOTI01181/NOTI01181000102.xml#r1l22  | borgen te stellen, zullende voorts de voorn opvoedin

HTR: NOTI01181/NOTI01181000102.xml#r1l23        | uytsetting of het te den te doen bewijs, de op
GT : 12788_NOTI01181/NOTI01181000102.xml#r1l23  | uytsetting of het te doen te doen bewijs, de op

HTR: NOTI01181/NOTI01181000103.xml#r1l1         | de Langstlevende also onverteert en onveralie
GT : 12788_NOTI01181/NOTI01181000103.xml#r1l1   | de langstlevende also onverteert en onveralie

HTR: NOTI01181/NOTI01181000103.xml#r1l3         | genoten zal worden door hunne Nooste bloed
GT : 12788_NOTI01181/NOTI01181000103.xml#r1l3   | genoten zal worden door hunne Naaste bloed

HTR: NOTI01181/NOTI01181000103.xml#r1l6         | in welk gegal een ieder der Testateuren als dan hun
GT : 12788_NOTI01181/NOTI01181000103.xml#r1l6   | in welk geval een ieder der Testateuren als dan hun

HTR: NOTI01181/NOTI01181000103.xml#r1l10        | bij dezen Respective bloedvrienden die op
GT : 12788_NOTI01181/NOTI01181000103.xml#r1l10  | by dezen. Respectieve bloedvrienden die op

HTR: NOTI01181/NOTI01181000103.xml#r1l13        | zonder hertrout geweest te zijn sullen
GT : 12788_NOTI01181/NOTI01181000103.xml#r1l13  | zonder hertrout geweest te Zijn sullen

HTR: NOTI01181/NOTI01181000103.xml#r1l17        | substitueeren bij deesen
GT : 12788_NOTI01181/NOTI01181000103.xml#r1l17  | substitueeren bij deesen.

HTR: NOTI01181/NOTI01181000103.xml#r1l22        | hun beijder en elks testament en uijtte¬
GT : 12788_NOTI01181/NOTI01181000103.xml#r1l22  | hun beijder en elks testament en uytte

HTR: NOTI01181/NOTI01181000103.xml#r1l23        | ste wil, 't geen zij Testateuren begeerde
GT : 12788_NOTI01181/NOTI01181000103.xml#r1l23  | ste wil, 't geen zij Testateuren begeerd

HTR: NOTI01181/NOTI01181000103.xml#r1l31        | Gepasseert binnen Amstedam ten
GT : 12788_NOTI01181/NOTI01181000103.xml#r1l31  | Gepasseert binnen Amsterdam ten

HTR: NOTI01181/NOTI01181000103.xml#r1l35        | op de Korte princee van Erp wonende
